Var1,Freq,Preservation
ACTINIARIA,11,0
ALCYONACEA,7,0
ALLOGASTROPODA,37,2
AMBLYPYGI,2,0
AMPHIPODA,74,0
ANASPIDACEA,4,0
ANOSTRACA,30,0
ARANEAE,365,0
ARCHAEOGNATHA,3,0
ARCHITAENIOGLOSSA,478,2
ARCIDA,4,2
ASPIDOCHIROTIDA,371,1
BATHYTEUTHIDA,6,2
BLATTODEA,26,0
CALANOIDA,69,0
CAMARODONTA,1,1
CARDIIDA,9,2
CAVIBELONIA,4,0
CHORDEUMATIDA,1,0
COLEOPTERA,1813,0
CYCLONERITIDA,111,2
CYCLOPOIDA,13,0
DECAPODA,2900,1
DERMAPTERA,7,0
DIPLOSTRACA,12,0
DIPTERA,365,0
ELLOBIIDA,72,2
ENTOMOBRYOMORPHA,5,0
EPHEMEROPTERA,3,0
EUPHASIACEA,1,1
FORCIPULATIDA,1,1
GEOPHILOMORPHA,6,0
GRYLLOBLATTODEA,5,0
HALOCYPRIDA,1,2
HARPACTICOIDA,22,0
HELIOPORACEA,1,0
HEMIPTERA,61,0
HOLOTHYROIDAE,4,0
HYGROPHILA,511,2
HYMENOPTERA,636,0
HYPSOGASTROPODA,26,2
IDIOSEPIIDA,6,0
ISOPODA,45,0
ISOPTERA,4,0
LEPETELLIDA,87,2
LEPIDOPLEURIDA,2,1
LEPIDOPTERA,1638,0
LITHOBIOMORPHA,3,0
LITTORINIMORPHA,1717,2
LUCINIDA,3,2
MANTODEA,38,0
MICTACEA,1,0
MILLEPORINA,17,0
MISOPHRIOIDA,2,0
MYODOCOPIDA,1,2
MYOPSIDA,48,1
MYSIDA,2,0
MYTILIDA,17,2
NEOGASTROPODA,675,2
NEOMPHALIDA,38,2
NEUROPTERA,3,0
NOTOSTRACA,5,0
NUDIBRANCHIA,1,0
OCTOPODA,271,0
ODONATA,6223,0
OEGOPSIDA,230,2
OPILIONES,22,0
ORIBATIDA,23,0
ORTHOPTERA,1495,0
OSTREIDA,20,2
PATELLIDA,10,2
PECTINIDA,2,2
PENICILLARIA,1,0
PENNATULACEA,1,0
PHASMIDA,104,0
PHTHIRAPTERA,1,0
PLATYCOPIOIDA,2,0
PLECOPTERA,7,0
PODOCOPIDA,11,2
PODUROMORPHA,4,0
POLYDESMIDA,5,0
POLYZONIIDA,4,0
PSEUDOSCORPIONES,16,0
PSOCOPTERA,2,0
PTERIOIDA,1,2
PYLOPULMONATA,14,2
SCHIZOMIDA,6,0
SCLERACTINIA,822,2
SCOLOPENDROMORPHA,1,0
SCORPIONES,3,0
SCUTIGEROMORPHA,1,0
SEGUENZIIDA,6,2
SEPIIDA,126,2
SEPIOLIDA,62,0
SESSILIA,2,0
SIPHONAPTERA,1,0
SIPHONARIIDA,1,2
SIPHONOPHORIDA,3,0
SOLEMYIDA,2,2
SORBEOCONCHA,433,2
SPHAEROTHERIIDA,78,0
SPIROBOLIDA,76,0
SPIROSTREPTIDA,76,0
SPIRULIDA,1,2
STEMMIULIDA,1,0
STYLOMMATOPHORA,3221,2
SYSTELLOMMATOPHORA,3,2
THYSANOPTERA,1,0
TRICHOPTERA,5,0
TROCHIDA,17,2
TRYBLIDIIDA,1,1
UNIONIDA,540,1
VENERIDA,219,2
XIPHOSURA,4,1
ZOANTHINARIA,8,0
